RamanShift,0.625 mg/mL IgG1,1.25 mg/mL IgG1,2.5 mg/mL IgG1,5 mg/mL IgG1,10 mg/mL IgG1
3192,784304.9428,816932.7619,821765.0764,819413.2465,782532.5241
3191,780470.4265,812073.8264,816525.2093,815915.1478,778522.8441
3190,776004.9621,807567.9852,811250.7991,811941.2557,774593.5742
3189,770838.9898,802836.7668,806880.3175,807749.1338,769989.2961
3188,765836.3565,797698.2687,802378.4487,802829.0192,764941.9319
3187,761736.4468,792497.1349,797233.6759,797529.9889,760419.1781
3186,757903.2452,787452.4866,792659.637,792782.2395,756575.1472
3185,753171.0589,782766.2471,789409.1453,788394.4643,752585.4108
3184,747686.0436,778556.8514,786376.906,783435.2627,748457.8767
3183,742397.8546,774665.5411,782030.7763,777879.1838,744836.6701
3182,737581.5297,771088.2728,776678.5649,772819.5723,741157.7088
3181,733272.9501,767480.1581,771845.1093,769094.473,736588.5376
3180,729683.7581,762849.1074,767276.3079,765998.8466,731826.9962
3179,726131.8034,757596.2997,761456.9345,761917.317,727776.3411
3178,721239.4318,753505.0405,755074.7667,756324.1984,723976.2136
3177,714927.1028,750012.3856,750118.6502,750149.3803,719589.5503
3176,708951.1967,744478.8262,746148.7713,744343.9169,714532.5309
3175,704767.6809,736986.2114,741141.8737,739247.2759,709365.4537
3174,701414.3224,730216.6352,734989.0776,734669.249,704636.6038
3173,696680.1537,724943.774,729472.2566,729816.8265,699974.032
3172,690354.975,719789.7852,725504.4265,724242.1875,694365.0226
3171,684283.1948,714185.5888,721852.4553,718813.7533,687900.308
3170,679268.2042,708781.5902,716866.5651,714355.6638,681965.9461
3169,674763.9127,704097.5426,710822.4159,709950.875,677270.5237
3168,670808.9741,699701.0593,705185.8162,704116.565,673071.381
3167,667100.1903,694460.0371,700187.1072,697097.4406,668516.6758
3166,662037.1573,688249.9396,695162.9898,690561.581,663553.7782
3165,655504.649,682472.7223,690221.8395,685298.8261,658430.6747
3164,649874.1061,677627.0579,685568.0364,680588.095,653263.6572
3163,646245.4722,672423.8694,680615.275,675734.8956,648308.5023
3162,642681.1741,666340.0645,675005.6693,670852.3119,643845.7075
3161,637381.6402,660438.3158,669068.6881,666118.135,639466.6603
3160,630997.7706,655231.8509,663128.155,661360.4981,634291.0834
3159,625001.1198,650215.9085,657492.3295,656416.3091,628263.2996
3158,619687.1916,645397.3673,652372.2472,651303.273,622430.6308
3157,614543.2971,641244.3957,647154.6021,645942.3782,617623.5453
3156,609382.9987,637345.7656,641014.5518,640118.8435,613458.5834
3155,604324.6234,632597.8828,634432.7964,634165.8023,608858.9582
3154,599318.9171,626607.3009,628707.8641,628976.1452,603375.9888
3153,594355.5446,620072.4957,624038.6069,624549.584,597764.5244
3152,589678.7368,614037.2706,619316.9211,619944.0286,592798.1333
3151,585300.059,609047.2867,613708.4929,615161.657,587910.3637
3150,580714.928,604608.4977,607656.2652,610719.8382,582291.5213
3149,575598.3695,599920.978,602372.6094,605840.4975,576828.4581
3148,570409.0145,595349.9601,598477.2251,600030.6168,572926.4039
3147,565672.7194,591559.1716,595088.6792,594696.2703,569804.9297
3146,561064.4747,587472.7718,590679.7581,590453.84,565301.0993
3145,556035.8136,581674.8117,584833.9458,585652.3072,559078.7866
3144,550795.867,574958.6043,578492.6174,579361.1053,552811.0547
3143,545705.7206,568988.9129,572716.177,572775.9892,547486.2117
3142,540510.3739,563960.0818,567806.6627,567066.4235,542579.1132
3141,535095.1179,559105.4712,563144.1884,562214.4594,537681.8297
3140,530030.2175,553791.7555,557803.3201,557687.9314,533196.3646
3139,525642.1112,547877.6106,552019.6793,552935.1359,529335.5566
3138,521338.0015,542106.0679,547137.8903,547702.4565,525572.2007
3137,516252.71,537187.024,543219.0169,542188.2687,521223.4769
3136,510335.1313,532420.1709,538603.4327,536678.6059,516090.5897
3135,504623.8468,526810.9681,532799.263,531299.4843,510513.758
3134,499929.8584,520832.7563,527244.0559,526135.6468,504961.9536
3133,495572.8645,515598.8459,522480.1994,521273.8994,499633.3875
3132,490648.4594,511246.9309,517446.9441,516598.5551,494534.4526
3131,485667.4982,507073.7435,511908.1825,511677.1368,489749.5488
3130,481306.383,502496.38,506780.1225,506339.3387,485418.0196
3129,476980.4283,497417.494,502090.5517,501220.4261,481647.1089
3128,472078.5733,492030.2203,497017.246,496801.2389,478370.7887
3127,466933.2934,486544.7118,491556.7349,492345.521,474914.5774
